wine_id,wine_name,kind_id,country_id,cultivar,sweet_id,acid_id,body_id,tanin_id,proof,price,img
1560,마르께스 데 까사 콘차 시라 2016,1,14,"Syrah/Shiraz 96%, Carmenere 4%",1,3,4,4,14도,"70,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929015843693_NQPPX8W0C.jpg/W0150401.jpg?type=m250&wm=N
1561,코노 수르 실렌시오 2012,1,14,"Cabernet Sauvignon 98%, Carmenere 2%",1,3,5,5,도수 정보가 없습니다.,"490,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929022031996_QQKVP20S1.jpg/W0158083.jpg?type=m250&wm=N
1562,"비나 엘 아로모, 인피니토 메를로 2020",1,14,Merlot 100%,2,2,3,2,12도,"20,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929052004702_T41OWLFD2.jpg/W0150058.jpg?type=m250&wm=N
1563,레 세레 누오베 델 오르넬라이아 2012,1,11,"Merlot 52%, Cabernet Sauvignon 28%, Petit Verdot 12%, Cabernet Franc 8%",1,4,3,3,14.5도,"165,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20180715080319930_GCP1JQ8J1.jpg/W0157662.jpg?type=m250&wm=N
1564,"까잘 가르시아, 비뉴 베르데 화이트",2,16,"Trajadura, Treixadura, Loureiro, Arinto, Azal Blanco",1,4,2,1,9~10도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_8/20171205012921156_TY2F7QMW2.jpg/W0162512.jpg?type=m250&wm=N
1565,"제이피 슈네, 까베르네 쉬라",1,17,"Cabernet Sauvignon, Syrah/Shiraz",1,2,2,2,13~14도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_10/20200201074824133_4CC4960K4.jpg/W0139173.jpg?type=m250&wm=N
1566,"라 크레마, 앤더슨 밸리 피노 누아 2012",1,6,Pinot Noir 100%,1,4,2,3,13.5도,"120,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20190427012553949_YYKHTDTM5.jpg/W0155590.jpg?type=m250&wm=N
1567,"안티갈, 우노 말벡 2015",1,8,Malbec 100%,1,1,4,4,13~14도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_9/20181201062027169_M73KE4BSS.jpg/W0160546.jpg?type=m250&wm=N
1568,"울프 블라스, 더 마스터 2012",1,19,"Cabernet Sauvignon, Syrah/Shiraz",1,2,4,4,14~15도,"701,000원",https://dbscthumb-phinf.pstatic.net/3165_000_12/20210726014205403_3X8ANRRHG.png/T0168918_001.png?type=m250&wm=N
1569,"카테나 자파타, 안젤리카 자파타 메를로 2017",1,8,Merlot 100%,1,3,4,3,13~14도,"83,300원",https://dbscthumb-phinf.pstatic.net/3165_000_12/20211229014207219_O3YGL347A.png/W0170212.png?type=m250&wm=N
1570,"끌로 뒤 발, 메를로 2016",1,6,"Merlot 94%, Cabernet Sauvignon 6%",1,4,4,4,14.5도,"140,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20190401073713506_73NCC78O2.jpg/W0139845.jpg?type=m250&wm=N
1571,샤또 뒤아르 밀롱 2017,1,17,"Cabernet Sauvignon, Merlot",1,3,5,4,도수 정보가 없습니다.,"150,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20190801021951482_APSQTXQVX.jpg/W0157759.jpg?type=m250&wm=N
1572,"피치니, 메모로 로사토",4,11,"Negroamaro 40%, Nero d'Avola 30%, Montepulciano 20%, Merlot 10%",2,3,2,1,도수 정보가 없습니다.,"9,900원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929020337791_4E1GWF9YR.jpg/W0162076.jpg?type=m250&wm=N
1573,알바 데 도머스 2013,1,14,"Cabernet Sauvignon 76%, Merlot 18%, Petit Verdot 6%",1,3,4,4,14~15도,"86,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929034622085_F9292QFAR.jpg/W0160879.jpg?type=m250&wm=N
1574,알패션 말벡 2018,1,8,Malbec 100%,1,3,3,4,13~14도,"60,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20180904013945702_JB4VYJQWB.jpg/0163264.jpg?type=m250&wm=N
1575,"자르데또, 포르타 몬티카노",3,11,"Glera 50%, Incrocio Manzoni 30%, Boschera 10%, Verdiso 10%",1,3,1,1,11도,"29,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20190212012356906_VH8S2J0YE.jpg/W0164515.jpg?type=m250&wm=N
1576,레드 뱃 2018,1,7,"Grenache, Merlot, Cabernet Sauvignon, Syrah/Shiraz",1,3,4,4,도수 정보가 없습니다.,"68,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20181218012239065_U5KC897QY.png/W0164123.png?type=m250&wm=N
1577,"35 사우스, 레세르바 까베르네 소비뇽 2017",1,14,Cabernet Sauvignon 100%,1,3,3,3,14~15도,"27,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929020537659_RM140YX78.jpg/W0137410.jpg?type=m250&wm=N
1578,"몬테스 알파, 카버네 소비뇽 한글 레이블 2018",1,14,Cabernet Sauvignon,1,3,4,4,14~15도,"49,000원",https://dbscthumb-phinf.pstatic.net/3165_000_11/20201007012805805_YMAUOHQQI.png/W0167719.png?type=m250&wm=N
1579,"비비 그라츠, 테스타마타 로쏘 2018",1,11,Sangiovese 100%,1,4,5,5,14도,"418,000원",https://dbscthumb-phinf.pstatic.net/3165_000_11/20200522012528910_B9PJINM5J.png/W0147648.png?type=m250&wm=N
1580,"폴 로저, 브뤼 빈티지 2013",3,17,"Pinot Noir 60%, Chardonnay 40%",1,5,4,1,12~13도,"240,000원",https://dbscthumb-phinf.pstatic.net/3165_000_11/20210430012756560_50SHQ5G4E.png/W0137391.png?type=m250&wm=N
1581,컨츄리 캠벨 스위트,1,3,Campbell Early,5,1,2,3,14~15도,"15,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929043742484_79IHZEI25.jpg/W0150710.jpg?type=m250&wm=N
1582,론코 디 싸시 프리미티보 아파시멘토 2018,1,11,Primitivo,1,3,5,4,14~15도,"86,000원",https://dbscthumb-phinf.pstatic.net/3165_000_11/20210401012908837_OLDYARKN9.png/W0168526.png?type=m250&wm=N
